azimuth_deg,horizon_angle_deg,horizon_distance_m,horizon_elevation_m
50.400000000000006,7.833763540656008,3375.0,1068.06005859375
50.5,7.834752953088501,3385.0,1069.5
50.6,7.843890078933374,3385.0,1070.050048828125
50.7,7.829938270422682,3390.0,1069.9000244140625
50.800000000000004,7.811667035807086,4650.0,1242.3399658203125
50.900000000000006,7.819410806411627,4655.0,1243.6700439453125
51.0,7.823396838662609,4655.0,1244.0
51.1,7.837376913537731,4665.0,1246.5400390625
51.2,7.850304425680387,4660.0,1246.9200439453125
51.300000000000004,7.8630820604847775,4675.0,1250.06005859375
51.400000000000006,7.887252370164569,4675.0,1252.0699462890625
51.5,7.911061730216114,4675.0,1254.050048828125
51.6,7.932103680642713,4680.0,1256.5
51.7,7.941831881322062,4680.0,1257.31005859375
51.800000000000004,7.951353976827781,4670.0,1256.699951171875
51.900000000000006,7.949309105039809,4670.0,1256.530029296875
52.0,7.952918466262115,4670.0,1256.8299560546875
52.1,7.957973227994856,4670.0,1257.25
52.2,7.963387751628635,4670.0,1257.699951171875
52.300000000000004,7.967805002816315,4675.0,1258.77001953125
52.400000000000006,7.973333792951394,4675.0,1259.22998046875
52.5,7.981146915868997,4675.0,1259.8800048828125
52.6,7.993647291028305,4675.0,1260.9200439453125
52.7,8.006987515493371,4675.0,1262.030029296875
52.800000000000004,8.022489128791392,4675.0,1263.3199462890625
52.900000000000006,8.040521455313677,4680.0,1265.530029296875
53.0,8.059739799917915,4675.0,1266.4200439453125
53.1,8.088617579435184,4670.0,1268.1099853515625
53.2,8.10485174056684,4670.0,1269.4599609375
53.300000000000004,8.123565354804672,4680.0,1272.449951171875
53.400000000000006,8.147824922755817,4690.0,1275.9100341796875
53.5,8.177171480487202,4685.0,1277.6400146484375
53.6,8.206285299928114,4685.0,1280.0699462890625
53.7,8.241090911721118,4695.0,1284.4300537109375
53.800000000000004,8.282575038904913,4690.0,1287.1700439453125
53.900000000000006,8.323014586724435,4700.0,1292.02001953125
54.0,8.361919435365287,4700.0,1295.280029296875
54.1,8.39795332113124,4700.0,1298.300048828125
